StudentIDE,MA1E,MA2E,MA3E,MA4E,MA5E,MA6E,MA7E,MA8E,QANX1E,QANX2E,QANX3E,QANX4E,QINFL1E,QINFL2E,QINFL3E,QINFL4E,QINFL5E,QINFL6E,QINFL7E,QSF1E,QSF2E,QSF3E,QSF4E,QHIND1E,QHIND2E,QHIND3E,QHIND4E,QHIND5E,QSC1E,QSC2E,QSC3E,QSC4E,QSE1E,QSE2E,QSE3E,QSE4E,QSE5E,QSE6E,SPSS1E,SPSS2E,SPSS3E,SPSS4E,SPSS5E,SPSS6E,SPSS7E,SPSS8E,SPSS9E,SPSS10E
75,2,4,2,2,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,5,5,5,5,5,4,3,5,5,3,3,3,3,5,3,4,4,3,3,4,2,2,4,3,4,4,4,4,4
76,1,5,5,1,3,2,2,3,4,5,5,5,1,2,2,5,5,4,4,5,5,5,5,5,5,5,5,5,3,4,4,1,2,4,4,4,3,3,5,1,1,5,5,5,5,5,5,1
77,2,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,4,4,5,5,4,4,3,2,3,2,2,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
78,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
79,3,1,2,3,3,3,5,1,5,4,5,3,1,1,1,4,1,3,3,5,5,5,5,5,4,5,5,5,2,4,3,1,3,3,3,,,1,4,2,2,2,2,5,5,5,3,2
80,1,5,1,1,1,3,5,1,5,5,5,5,1,1,1,5,5,3,3,5,5,5,5,4,4,4,3,1,1,3,1,1,5,5,5,2,1,1,3,1,3,2,2,5,4,2,1,3
81,4,2,4,4,3,2,3,3,4,3,3,3,2,2,2,4,4,3,3,4,4,4,4,3,4,4,4,3,3,4,4,2,2,4,4,4,3,3,4,2,2,4,4,5,3,4,4,2
82,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1
83,4,3,3,5,4,1,2,3,4,2,2,2,3,3,3,5,5,4,4,5,5,5,5,1,3,3,3,4,3,2,2,2,2,4,3,3,3,4,4,1,1,4,5,5,4,5,5,1
84,1,5,5,1,2,2,4,1,3,3,4,3,4,3,3,5,5,3,3,5,5,5,3,4,3,1,5,3,2,4,3,1,3,3,3,5,2,3,1,1,3,1,1,3,3,2,2,3
85,3,3,3,3,4,1,4,1,4,3,3,2,4,4,3,3,5,3,5,5,5,5,5,2,2,1,1,1,3,3,3,3,3,4,4,3,3,4,3,4,3,4,4,5,5,5,5,5
86,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,2,4,4,4,4,4,3,3,2,2,3,3,3,3,3,2,3,3,2,3,4,3,3,3,3,3,2,2,2,3
87,1,5,5,1,3,1,4,2,4,3,4,3,2,2,2,4,3,2,2,4,5,3,2,3,2,2,4,3,2,4,3,1,3,4,4,1,3,4,3,2,4,3,5,2,4,4,3,4
88,3,2,3,4,3,3,3,3,4,4,3,4,1,1,1,5,2,4,4,5,5,5,5,4,5,4,4,4,4,2,2,4,3,4,4,2,4,3,3,3,2,3,4,5,2,3,4,2
